"","gene_id","Chr","Start","End","Strand","Length","logFC","logCPM","LR","PValue","FDR"
"1","gene-LOC119067247","X",34753853,34757572,"+",2261,-7.82164166524635,7.42135203036382,2662.62697198379,0,0
"2","gene-LOC119069308","X",8675691,8677219,"+",1273,-9.65851141346847,4.7364672556387,1337.17022447777,9.45578531874823e-293,9.38392135032574e-289
"3","gene-LOC119069815","X",59481275,59482899,"+",1113,-5.33227708478047,5.00296975733149,1187.54044206316,3.11257913744793e-260,2.05928235733555e-256
"4","gene-LOC119067993","X",6482894,6613150,"-",2938,-7.81975500420725,4.31546592721076,884.607692228716,2.17748638199677e-194,1.0804687427468e-190
"5","gene-LOC119080000","III",52176002,52179497,"-",3187,-6.71103522102444,3.51437907795836,450.86683950898,4.67162225064825e-100,1.85444716861733e-96
"6","gene-LOC119068403","X",54820871,54822035,"+",1136,-7.00042065794858,2.25254861236589,337.27451717148,2.50287522207378e-75,8.27951123462006e-72
"7","gene-LOC119068355","X",22355012,22370713,"-",1685,-6.89854322622022,2.4305780541246,329.241949825878,1.40569876700674e-73,3.98575844679283e-70
"9","gene-LOC119069885","X",6423401,6426799,"-",2011,-4.64616200611571,2.28099076527317,234.568620873064,6.01234837887943e-53,1.32592322915554e-49
"10","gene-LOC119069689","X",61928843,61931396,"-",2093,-10.6460159728889,1.27787596587002,226.804839909685,2.9660229377553e-51,5.88696232685671e-48
"11","gene-LOC119068825","X",27476804,27538506,"+",2976,-8.43290460984183,1.71122334147717,226.302692732313,3.8167307124748e-51,6.8867701073818e-48
"12","gene-LOC119071576","IV",49359165,49360553,"+",1333,-3.65132990844504,3.32341342085607,219.083557675913,1.43312768470527e-49,2.37039319050252e-46
"13","gene-LOC119073067","associated_contig_81",2629,4797,"+",1841,-2.27412227388508,4.52258923216972,212.92690827612,3.15731490965742e-48,4.82049125591388e-45
"14","gene-LOC119082254","associated_contig_13",32363,34703,"+",2013,-2.30049302674291,4.68550527534292,202.412726133342,6.21350179898212e-46,8.80897026472837e-43
"15","gene-LOC119071909","IV",53462448,53467450,"-",2373,-3.79548676630691,3.259086051243,190.791741151873,2.13556550045894e-43,2.82578027020728e-40
"16","gene-LOC119080541","X",49208026,49210148,"-",1764,-4.32328147196115,2.15687131928907,189.402300457531,4.29335692576009e-43,5.32590926640539e-40
"18","gene-LOC119080643","X",49195963,49202388,"+",2275,-2.13685307608515,4.62972086685179,179.325774295729,6.80193746809559e-41,7.50026971482007e-38
"21","gene-LOC119081046","X",49414568,49416291,"+",1470,-9.72290378687068,0.374011722627438,156.749057588723,5.807436074772e-36,5.4888567243845e-33
"22","gene-LOC119067517","X",31182774,31211352,"+",4139,-3.62591850404974,2.59132859766756,152.122997671074,5.95585296499225e-35,5.37326225678028e-32
"23","gene-LOC119067251","X",34503958,34505568,"-",1276,-4.83907669405548,1.32453547542845,142.134008791249,9.09032986283622e-33,7.8445594398945e-30
"31","gene-LOC119084712","X",53415420,53416725,"-",650,-2.84918277485509,1.99375012289509,101.77902271375,6.20740354200326e-24,3.97434017747357e-21
"33","gene-LOC119070331","X",46797310,46797981,"-",672,-8.89466249342279,-0.40932729798139,98.6236792170018,3.05346177431869e-23,1.83651846353568e-20
"34","gene-LOC119070124","X",5731321,5738467,"-",2211,-4.8278642063674,0.290104980963643,96.1064147070968,1.08871477297507e-22,6.35553259235567e-20
"36","gene-LOC119069335","X",8173125,8238026,"-",4080,-3.65962749752233,0.766863393657729,92.0939898610206,8.2656017968543e-22,4.55710179066567e-19
"37","gene-LOC119069430","X",40905319,40906424,"-",974,-5.35696950605289,-0.112380623898186,90.5842486705184,1.77265942508255e-21,9.50912007271307e-19
"40","gene-LOC119069884","X",6420057,6423604,"+",2985,-4.39819308920905,0.549943666675526,87.2804218004853,9.41755304907984e-21,4.67298982295342e-18
"41","gene-LOC119068943","X",24524067,24526414,"-",906,-3.95307423616445,0.679477892321674,78.4970603195937,8.01173745000687e-19,3.87846255872528e-16
