gene_id,Chr,Start,End,Strand,Length,logFC,logCPM,LR,PValue,FDR
gene-LOC119066745,IV,81542160,81549385,-,2985,-2.0252549402637587,7.125304486712656,417.6480621084668,7.931891140473289e-93,1.5743217535611384e-88
gene-LOC119072496,IV,31219930,31222465,-,1501,-1.5844623112508793,8.8766989363276,308.4169622690806,4.83149583514414e-69,4.794776466797045e-65
gene-LOC119081063,III,42156303,42158799,+,1599,-1.5979733760564687,7.985439477739383,300.29844522803603,2.836287907182953e-67,1.8764880793922417e-63
gene-LOC119079439,III,57165929,57166880,+,707,-1.945289706553648,7.082122605297806,296.1551844998081,2.2669655440950697e-66,1.0151751471563264e-62
gene-LOC119078945,IV,24866936,24867942,+,642,-2.1504914690998898,6.1252276271753345,295.91491325214116,2.557373909603805e-66,1.0151751471563264e-62
gene-LOC119081144,III,53621506,53627243,+,3149,-2.256739624540297,6.885645938452731,291.29795088980325,2.592666794028075e-65,8.576541754644872e-62
gene-LOC119083097,IV,1255529,1258859,+,2399,-2.1636370759840107,6.793797706771273,283.5879744201856,1.2408857218668486e-63,3.51844282965903e-60
gene-LOC119082424,associated_contig_72,12182,12679,+,498,2.29055709771262,8.993059800590698,281.70351115947324,3.194298463154235e-63,7.925054487085658e-60
gene-LOC119068176,X,18992672,18994245,-,852,-1.8076808801543705,8.709375495934482,279.5817761049244,9.262636250702045e-63,2.042720047821491e-59
gene-LOC119068997,X,22989017,22996784,+,2282,-2.06394494170307,8.907116797656476,277.6083891123561,2.4933166534096127e-62,4.9487348936873995e-59
gene-LOC119067424,X,38246209,38248023,+,1517,-2.0009454113460694,8.103502648604302,275.6479303158065,6.6682772900722285e-62,1.2031997059395781e-58
gene-LOC119082440,associated_contig_72,27904,28371,+,468,2.3432444524651106,9.157999831309874,275.20280838932564,8.337178179412153e-62,1.37896927087477e-58
gene-LOC119078289,IV,36219537,36220429,-,738,-1.5454416349288227,6.916015933571155,274.873700403362,9.834266079391104e-62,1.5014654857211894e-58
gene-LOC119083134,IV,2159242,2165234,+,3597,1.7875013584469635,8.115479502370555,272.1130417124702,3.929954702315274e-61,5.571552923682398e-58
gene-LOC119081420,X,57187439,57189408,-,1609,-1.854606208638705,8.005629191255888,271.2276611205714,6.1284136298411705e-61,8.109116915005837e-58
gene-LOC119082768,IV,3449642,3454353,+,2004,-1.6310254153421404,6.59214475403838,255.12313794628162,1.984237729071066e-57,2.4614469029126573e-54
gene-LOC119073996,III,18047213,18051109,+,2836,-1.6387691492955678,8.15008675225946,253.61326967188745,4.233859381337746e-57,4.94315535298774e-54
gene-LOC119069157,X,7390322,7396925,-,3481,-1.4878759892065807,8.43252289376643,251.14632444343886,1.4606052457426154e-56,1.6105607176388574e-53
gene-LOC119075292,IV,46259330,46261990,+,1671,-1.5131267758460323,6.300350205320052,251.01332235583666,1.5614497813754513e-56,1.6311397505652607e-53
gene-LOC119072832,IV,91438507,91442162,+,2669,-1.74423660326988,6.993447080533781,250.68950982076566,1.8370506630209116e-56,1.8230890779819526e-53
gene-LOC119071703,IV,55950493,55967282,+,3708,-2.1428407099730773,8.181906063533084,249.6173643887883,3.1467188633600673e-56,2.974098857141458e-53
gene-LOC119080178,III,51800464,51802299,-,1836,-2.1018207995594453,7.325668805586408,247.69008390394598,8.280020206124677e-56,7.470083684143753e-53
gene-LOC119072159,IV,34120273,34126412,+,3131,-1.4758773854126481,7.724920949159401,241.94974644807613,1.4776813336035014e-54,1.275174743885317e-51
gene-LOC119066180,IV,75600556,75601893,+,1264,12.31824214382879,5.191804784463121,239.9326731431345,4.068045421819763e-54,3.3642735638449443e-51
gene-LOC119071137,IV,70491780,70530167,-,4633,1.369044690229472,8.407414807900151,239.4481574339182,5.188387459282126e-54,4.1191645716732655e-51
gene-LOC119081947,X,56177141,56192215,+,2566,-2.0343021148607474,6.517303305802467,237.84509481505742,1.1603251345416463e-53,8.857743565531767e-51
gene-LOC119067567,X,32428545,32429549,+,734,-1.5801666642328154,7.754940066817396,237.67474892325296,1.26393324158688e-53,9.291313695931998e-51
gene-LOC119070297,X,36950759,36956126,+,1566,-1.8929520109940239,7.935932685777584,237.0193970069705,1.7564129270531263e-53,1.2450458491482305e-50
gene-LOC119085387,IV,11884037,11903264,-,3467,-1.9641599451926466,5.655244551394068,236.49960438345528,2.2801895414557475e-53,1.5605931730625404e-50
gene-LOC119067489,X,30947109,30951138,-,1589,-1.4441425285029497,8.446423227333392,234.50330631002853,6.212794397642992e-53,4.1103847734806037e-50
gene-LOC119066031,IV,75625530,75626727,+,1124,12.854004075761823,4.640332639499035,232.716790033598,1.5235993052613217e-52,9.754967422847326e-50
gene-LOC119085955,IV,71951517,71954944,+,2315,-2.5981642328930152,5.953931011330134,228.80085332655335,1.08857758493952e-51,6.751902470587373e-49
gene-LOC119073163,III,26959650,26960807,+,1087,-1.541381395208893,6.132748002567058,226.75197879919364,3.045813651585137e-51,1.831918465353388e-48
gene-LOC119066890,IV,77587853,77597857,+,5628,-1.7144165135741587,5.874602473586382,226.47680076954896,3.497187226721451e-51,2.0415344728225692e-48
gene-LOC119067236,X,34684108,34691202,+,2409,-1.5971811095434123,6.708682650046956,226.2886416398855,3.843758044030942e-51,2.1797402759407468e-48
gene-LOC119068156,X,18773189,18785791,-,1809,-2.3303241858720374,6.912834619700528,226.1789691276922,4.061397361209194e-51,2.239183745146669e-48
gene-LOC119076283,IV,59130891,59133070,-,1321,-1.396478687552503,7.50464925784303,225.25811348777262,6.449335227785076e-51,3.4596325838129235e-48
gene-LOC119067779,associated_contig_348,2547,4026,+,702,-1.6684233547930587,8.276373897588376,223.8741569807694,1.2923015543640287e-50,6.749895066057169e-48
gene-LOC119066341,IV,73237589,73241932,+,2956,-1.503460029793988,6.587587555727884,223.6576484205463,1.4407425100158287e-50,7.332271112511325e-48
gene-LOC119082366,IV,65144289,65148364,+,3811,1.18735920638385,9.253792614948157,222.9258103812424,2.0806951040182227e-50,1.032440910613842e-47
gene-LOC119073373,III,25528253,25543386,+,7792,-1.3507474936367883,8.404090149763295,222.28647619205762,2.868509387606442e-50,1.3886383981759186e-47
gene-LOC119078973,IV,25125304,25126838,-,1053,-1.944792983222386,6.28590251156662,222.16730642260018,3.0454332341407417e-50,1.439184734076796e-47
gene-LOC119070982,IV,14001905,14010514,-,2072,-2.011768302392323,6.521706796520426,221.6669911043608,3.915402552072831e-50,1.8072769733381755e-47
gene-LOC119077969,III,39986163,39988531,+,1227,-1.5566578881184727,8.137106301878887,221.5270624202222,4.200465824417273e-50,1.8947919473416825e-47
gene-LOC119076265,IV,59028310,59032247,+,1913,-1.791278885251013,5.911258420013864,219.98291786625802,9.122411119890842e-50,4.0235914646131876e-47
gene-LOC119067026,X,5456716,5463343,-,1334,-1.5235661860843548,6.655441904718708,219.353072418103,1.2516875034089674e-49,5.400759471230692e-47
gene-LOC119070068,X,15987289,15992222,-,2291,0.9919197353902771,12.008521552305561,218.80299256053752,1.650002507729867e-49,6.967925483706895e-47
gene-LOC119076961,III,38089041,38100941,-,2041,-2.1167503068261317,7.069344580159504,217.74270607250497,2.810400794518837e-49,1.1440033582273975e-46
gene-LOC119075552,associated_contig_157,15903,18959,-,1576,-1.8215093509974196,6.739529254018471,217.73290313886218,2.8242727001784803e-49,1.1440033582273975e-46
gene-LOC119080634,III,47319085,47323866,-,3239,-1.9073363678901614,5.6485789916603695,217.55824447930723,3.083230313280145e-49,1.2239191051596863e-46
