gene_id,Chr,Start,End,Strand,Length,logFC,logCPM,LR,PValue,FDR
gene-LOC119067247,X,34753853,34757572,+,2261,-7.995827709179894,7.0264945164766095,1545.161020672841,0,0
gene-LOC119069308,X,8675691,8677219,+,1273,-8.80909556627156,4.8485785944129995,476.7298195455653,1.0998479527631165e-105,4.286657395894246e-102
gene-LOC119067993,X,6482894,6613150,-,2938,-7.049652504659657,4.589173062332748,412.5269103866495,1.0329684313365817e-91,2.683996307422885e-88
gene-LOC119069815,X,59481275,59482899,+,1113,-4.986752962553762,4.402762816899262,260.92424405860635,1.079081773988748e-58,2.1028606070605727e-55
gene-LOC119068943,X,24524067,24526414,-,906,-6.175924179373151,3.283831126967017,152.11116316501048,5.991429818805608e-35,9.340639087517943e-32
gene-LOC119068403,X,54820871,54822035,+,1136,-5.790575073363963,2.6893036723650314,111.97187280768823,3.624154891014785e-26,4.708381229243375e-23
gene-LOC119070615,X,29491466,29493200,+,1138,-1.9832485277716467,6.002015422765385,101.42653926864712,7.416345843235964e-24,8.258630835432049e-21
gene-LOC119068944,X,24513185,24515526,-,899,-6.118093450206729,2.9872614583092707,100.88838904132669,9.731532432129304e-24,9.48216191355599e-21
gene-LOC119068355,X,22355012,22370713,-,1685,-7.64569875911202,1.7975738130861685,94.1763367458646,2.886306336060394e-22,2.499861987732308e-19
gene-LOC119080643,X,49195963,49202388,+,2275,-2.041811833290015,5.032504800730604,80.95257430204634,2.3120017260894586e-19,1.802205345486733e-16
gene-LOC119069885,X,6423401,6426799,-,2011,-4.201442228056467,2.7967822380362506,79.8284722863845,4.083654536838367e-19,2.893826101332279e-16
gene-LOC119080000,III,52176002,52179497,-,3187,-5.3128967418222075,3.9620309655541717,77.50115064219634,1.326451711645465e-18,8.616409243563667e-16
gene-LOC119069229,X,10485425,10489469,-,1680,-2.4525564990727013,5.3151222587789935,75.38689977005468,3.869488473718132e-18,2.3202048194332954e-15
gene-LOC119068869,X,26698081,26699952,+,1631,1.1027222201151858,6.640710456356582,65.73274875746763,5.164061278244914e-16,2.8752755474227935e-13
gene-LOC119070531,X,29293047,29293871,-,825,1.002345061158678,7.52187452040928,62.0298446905087,3.382911999668889e-15,1.7579866024945991e-12
gene-LOC119068825,X,27476804,27538506,+,2976,-9.852404259924686,0.4784519160530328,61.865177412453534,3.677965688598764e-15,1.7918589089142102e-12
gene-LOC119069685,X,62007710,62010137,+,2246,0.9539576354032321,7.237063258568644,61.58552608066392,4.239234376179211e-15,1.943813644842173e-12
gene-LOC119067251,X,34503958,34505568,-,1276,-6.164392557727865,1.2797658407560815,60.815995760072205,6.266665667076499e-15,2.7138143819367397e-12
gene-LOC119070465,X,45239365,45243219,+,3622,-1.9039559235297419,4.484734040135812,57.534600499554124,3.3208575225690255e-14,1.3624254941276606e-11
gene-LOC119082254,associated_contig_13,32363,34703,+,2013,-2.7895439191675244,3.3023362880969915,57.3533362850257,3.641450951251016e-14,1.4192555082500834e-11
gene-LOC119067870,X,43172252,43173807,+,1371,-5.357331470439226,1.940350255845247,54.41063354033391,1.626801878595631e-13,6.038533639834735e-11
gene-LOC119069689,X,61928843,61931396,-,2093,-5.835624119710667,1.285309467401614,52.378691328298835,4.576630156844772e-13,1.6215832760275e-10
gene-LOC119071576,IV,49359165,49360553,+,1333,-3.0266609382816307,2.96307294695945,51.944202149451854,5.710040900062567e-13,1.9352073398255527e-10
gene-LOC119069622,X,62758564,62783742,+,4691,-1.360461102131256,5.811741159116527,50.82164128380914,1.0115224216549722e-12,3.285340532000212e-10
gene-LOC119073067,associated_contig_81,2629,4797,+,1841,-2.672804188656006,3.1790495613199496,50.23295125340971,1.365357760355735e-12,4.257185496789182e-10
